City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
340,kichmengskiy gorodok,59.9816,45.7854,4.11,80,100,3.84,RU,1699415820
341,lloydminster,53.2835,-110.0016,0.12,93,100,8.75,CA,1699415820
342,corner brook,48.9667,-57.9484,3.09,85,99,5.56,CA,1699415820
343,bozkir,37.1896,32.2474,9.86,75,0,0.81,TR,1699415820
344,maceio,-9.6658,-35.7353,23.69,94,20,1.54,BR,1699415820
345,south venice,27.0531,-82.4243,22.02,75,19,2.24,US,1699415821
346,praia da vitoria,38.7333,-27.0667,20.14,94,75,6.72,PT,1699415821
347,nabire,-3.3667,135.4833,31.48,63,81,2.8,ID,1699415821
348,watertown,42.3709,-71.1828,12.19,65,0,4.63,US,1699415615
349,akure,7.2526,5.1931,22.53,99,81,1.11,NG,1699415821
350,lompoc,34.6391,-120.4579,14.32,79,0,6.71,US,1699415822
351,road town,18.4167,-64.6167,28.48,75,96,5.56,VG,1699415822
352,la puebla de montalban,39.863,-4.3592,8.62,85,100,1.53,ES,1699415822
353,ca mau,9.1769,105.15,30.53,68,67,3.29,VN,1699415823
354,el calafate,-50.3408,-72.2768,5.52,72,13,4.24,AR,1699415823
355,eseka,3.65,10.7667,23.33,99,99,0.27,CM,1699415823
356,kendal,54.3268,-2.7476,8.95,93,100,4.01,GB,1699415823
357,rocha,-34.4833,-54.3333,19.6,98,100,2.96,UY,1699415666
358,tadine,-21.55,167.8833,21.99,63,94,8.54,NC,1699415823
359,mitsamiouli,-11.3847,43.2844,26.94,77,10,6.06,KM,1699415824
360,vikhorevka,56.1201,101.1636,-8.23,69,42,2.52,RU,1699415824
361,castillos,-34.1667,-53.8333,18.35,97,100,3.21,UY,1699415824
362,las khorey,11.1595,48.1967,26.47,75,88,2.31,SO,1699415824
363,nurota,40.5614,65.6886,16.82,52,100,4.49,UZ,1699415825
364,puerto ayacucho,5.6639,-67.6236,24.62,90,83,1.49,VE,1699415825
365,bahawalpur,29.4,71.6833,26.82,25,16,1.57,PK,1699415825
366,adam,22.3756,57.5233,23.44,66,67,2.34,OM,1699415825
367,i-n-salah,27.1935,2.4607,25.93,13,100,3.89,DZ,1699415825
368,tatarsk,55.219,75.9828,-2.22,73,97,2.33,RU,1699415826
369,aswan,24.0934,32.907,24.61,41,0,1.54,EG,1699415826
370,yaren,-0.5472,166.916,28.51,79,64,6.35,NR,1699415826
371,geraldton,-28.7667,114.6,26.23,57,6,6.69,AU,1699415564
